Date,Mine Days Work_days,Mine Tons per Day_tpd,Feed Tonnage_tons,Feed Grade_Au gpt,MCF_%,Mill Days Work_days,Mill Tons per Day_tpd,Milled Tonnage_tons,Milled Grade_Au gpt,Gold Recovered_Au oz,Gold Recovery_%,Gold Tails_Solid_Au gpt,Gold Tails_Solution_Au gpt,Gold Tails_Total_Au gpt
2016-04-12,1,,1010,5.63,0.733747715,1,,1113.504964,4.130999637,120.040858,0.811691576,0.710338623,0.04816055,0.777902031
2016-04-13,1,,1110,5.64,0.799199703,1,,1337.020781,4.507486327,161.2746183,0.832343724,0.662738783,0.066416417,0.755708372
2016-04-14,1,,740,5.73,0.769416155,1,,1209.340599,4.408754567,147.1585934,0.858480301,0.560435113,0.045975883,0.623925618
2016-04-15,1,,1220,5.95,0.866017163,1,,1300.775334,5.152802122,187.0466622,0.867987491,0.600727834,0.057573674,0.680234335
2016-04-16,1,,1170,5.09,0.933913285,1,,1413.114203,4.753618622,182.9957847,0.847322523,0.644296695,0.056460663,0.725770499
2016-04-17,1,,1350,3.93,0.876685539,1,,1517.456904,3.445374167,134.9921312,0.803091366,0.57408186,0.074499671,0.67842392
2016-04-18,1,,1585,6.52,0.719483455,1,,1500.995909,4.691032125,193.8315073,0.856220692,0.610195787,0.045907891,0.674473353
2016-04-19,1,,930,4.6,0.991223319,1,,1210.469,4.559627266,148.8125708,0.838621259,0.644410781,0.066825814,0.735826908
2016-04-20,1,,1500,6.15,0.683545896,1,,1530.212694,4.203807259,169.5084211,0.819607539,0.671564151,0.061925356,0.758335138
2016-04-21,1,,905,6.51,0.696265782,1,,1304.320721,4.532690238,157.5133254,0.828678608,0.721959004,0.039529094,0.7765468
2016-04-22,1,,1045,6.57,0.834115808,1,,1207.275931,5.480140859,182.8203896,0.859479709,0.702525864,0.049466298,0.770070989
2016-04-23,1,,875,6.39,0.671923034,1,,1050.419977,4.293588186,118.5030455,0.817250912,0.71153545,0.053361447,0.784649326
2016-04-24,1,,1075,7.92,0.667972522,1,,1144.372522,5.290342376,162.7211803,0.835992049,0.743681093,0.089615123,0.867658215
2016-04-25,1,,1120,7.39,0.725702789,1,,1102.049258,5.362943612,159.5807974,0.839818922,0.756565393,0.0752,0.859042089
2016-04-26,1,,980,7.18,0.811616615,1,,802.9813465,5.827407297,127.0173454,0.844289647,0.718122772,0.135048462,0.907387647
2016-04-27,1,,1050,7.59,0.631951789,1,,953.9209235,4.796514079,118.4667439,0.805318387,0.763925111,0.126395311,0.933793096
2016-04-28,1,,925,7.64,0.668152626,1,,870.5271139,5.104686065,116.8039001,0.817551774,0.810661802,0.087388324,0.931340916
2016-04-29,1,,859.5,8.52,0.718421648,1,,904.4006241,6.120952438,148.0535456,0.83185612,0.851569231,0.123438812,1.029200693
2016-04-30,1,,,,0,1,,302.9029995,4.712,35.31495248,0.76958932,0.872,0.1485,1.085695122
2016-05-01,1,,1540,7.08,0.746020865,1,,1255.29215,5.281827726,177.0269229,0.830461564,0.803765825,0.064474071,0.89547281
2016-05-02,1,,1375,6.5,0.756060755,1,,1106.519971,4.914394908,143.4731363,0.820635962,0.807662056,0.0537,0.881465715
2016-05-03,1,,1010,5.89,0.545497271,1,,850.0715081,3.212978928,61.89601405,0.704869318,0.841006759,0.0696,0.948248662
2016-05-04,1,,345,5.72,0.759176843,1,,604.4503689,4.342491544,65.67247151,0.778203168,0.855592314,0.074744081,0.963150869
2016-05-05,1,,740,7.52,0.585808499,1,,998.1325181,4.40527991,107.8410305,0.762836698,0.919694225,0.09057264,1.044770728
2016-05-06,1,,935,7.09,0.796267397,1,,1197.929032,5.645535843,176.0679994,0.809754615,0.915488559,0.113439929,1.074037139
2016-05-07,1,,680,5.66,0.772614326,1,,1126.051424,4.372997086,120.3684378,0.760299096,0.913690439,0.097411699,1.048211357
2016-05-08,1,,400,8.29,0.386248492,1,,482.6957216,3.202,34.38162345,0.691896071,0.911,0.0525,0.98654878
2016-05-09,1,,1078,7.39,0.5040379,1,,1068.32091,3.72484008,94.24046237,0.736609489,0.896562575,0.058839396,0.981087531
2016-05-10,1,,1065,6.32,0.612309222,1,,1203.391793,3.869794283,116.2651156,0.776539882,0.774167131,0.065590644,0.864744688
2016-05-11,1,,1305,4.09,0.898929699,1,,1402.711439,3.676622468,130.5777389,0.787518982,0.679855476,0.073396455,0.781212486
2016-05-12,1,,1496,5.4,0.723749086,1,,1523.980041,3.908245064,147.6828068,0.771219731,0.771555252,0.088760558,0.894129356
2016-05-13,1,,1240,5.3,0.652163024,1,,1504.725535,3.456464028,123.9507492,0.741257474,0.754880429,0.100983788,0.894334232
2016-05-14,1,,1150,4.54,0.9283378,1,,1400.609992,4.21465361,145.3036877,0.765608579,0.877581995,0.081071155,0.987878649
2016-05-15,1,,1015,4.81,0.720848249,1,,1219.639545,3.467280079,101.932708,0.749725707,0.729928503,0.1028,0.867771072
2016-05-16,1,,1125,7.65,0.466052498,1,,1216.482342,3.56530161,105.8526982,0.759117687,0.725539308,0.096512229,0.8588181
2016-05-17,1,,1400,5.72,0.947827587,1,,1394.958094,5.421573797,203.4979082,0.836917553,0.714637478,0.113017363,0.884163523
2016-05-18,1,,1210,4.35,1.051499147,1,,1464.635703,4.57402129,174.5770243,0.810528985,0.726959772,0.098392378,0.866644455
2016-05-19,1,,1060,5.68,0.739534074,1,,1305.568873,4.200553538,131.0655024,0.743346578,0.94188278,0.09465,1.078086438
2016-05-20,1,,1200,3.8,1.285737,1,,1268.747442,4.885800599,160.1862459,0.803754777,0.823671925,0.094745564,0.958815027
2016-05-21,1,,1500,5.12,0.756018374,1,,1536.267414,3.870814072,143.3626457,0.749853009,0.880379254,0.063646827,0.968272491
2016-05-22,1,,1375,6.4,0.642801377,1,,1482.799787,4.113928815,155.458473,0.792655307,0.784873461,0.049333958,0.853001307
2016-05-23,1,,1150,4.25,0.934270893,1,,1410.535426,3.970651296,145.7205382,0.809252932,0.694057738,0.045861361,0.757390093
